City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
284,Yarada,IN,64.72,mist,17.65,83.2667,Yarada Jungle Beach Resorts
285,Parker,US,71.31,overcast clouds,32.7668,-97.8003,"Candlewood Suites Weatherford, an IHG Hotel"
286,Ekuvukeni,ZA,64.6,overcast clouds,-28.4675,30.1551,Sibeko Resident
287,Pacific Grove,US,68.07,clear sky,36.6177,-121.9166,Lovers Point Inn
288,Cap Malheureux,MU,79.29,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
290,Faanui,PF,80.98,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
291,Houston,US,68.4,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
292,Viedma,AR,61.0,broken clouds,-40.8135,-62.9967,Hotel Cristal
293,Caledon,ZA,68.16,overcast clouds,-34.23,19.4265,Die Pastorie
295,Manakara,MG,71.56,light rain,-22.1333,48.0167,La Residence Manakara
296,Pokhara,NP,51.15,broken clouds,28.2333,83.9833,Butterfly Lodge
297,Bella Vista,US,57.47,clear sky,36.4295,-94.2316,The Inn at Bella Vista
298,Bowen,AU,79.02,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
300,Marakkanam,IN,74.95,scattered clouds,12.2,79.95,Samvasa by the Sea
303,Marawi,PH,66.65,scattered clouds,7.9986,124.2928,Derogongan Residence
307,Praia Da Vitoria,PT,59.25,scattered clouds,38.7333,-27.0667,Hotel Branco I
311,Bonthe,SL,77.05,few clouds,7.5264,-12.505,Bonthe Holiday Village
315,Sal Rei,CV,68.56,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
317,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
318,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
319,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
320,Dhadar,IN,56.79,clear sky,28.3305,75.0632,ढाढर
321,Kazerun,IR,50.7,broken clouds,29.6195,51.6541,آپارتمان بزرگ اویسا
322,Sao Felix Do Xingu,BR,69.51,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
323,Sur,OM,70.07,clear sky,22.5667,59.5289,Sur Plaza Hotel
325,Te Anau,NZ,71.46,scattered clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
326,Isla Mujeres,MX,71.17,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
330,Mount Isa,AU,78.57,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
332,Airai,TL,66.16,overcast clouds,-8.9266,125.4092,
334,Meiganga,CM,65.19,broken clouds,6.5167,14.3,DFR HOUSE
335,Los Llanos De Aridane,ES,58.75,clear sky,28.6585,-17.9182,Valle Aridane
337,Huambo,AO,57.6,overcast clouds,-12.7761,15.7392,SiSHotel
341,Rodrigues Alves,BR,72.27,overcast clouds,-7.738,-72.6509,Pousada Aconchego
343,Kalulushi,ZM,62.11,moderate rain,-12.8378,28.0919,Nobutula Lodge
346,Lorengau,PG,79.72,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
350,Barmer,IN,61.29,clear sky,25.75,71.3833,OYO 71911 Hotel Amber Palace
352,Machiques,VE,81.81,scattered clouds,10.0644,-72.545,hotel el markes
353,Kirakira,SB,83.95,overcast clouds,-10.4544,161.9205,SanBiz Lodge
354,Ishigaki,JP,59.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
355,Pedasi,PA,75.07,clear sky,7.5333,-80.0333,Selina Pedasi
359,Kasongo-Lunda,CD,71.15,overcast clouds,-6.4667,16.8167,
364,Manggar,ID,79.34,broken clouds,-2.8833,108.2667,Guest Hotel
366,San Carlos De Bariloche,AR,56.95,few clouds,-41.1456,-71.3082,Hotel Patagonia
