City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,San Carlos De Bariloche,-41.1456,-71.3082,69.55,40,20,6.91,AR,2022-01-27 04:30:26
128,Mocuba,-16.8392,36.9856,74.08,91,100,4.45,MZ,2022-01-27 04:33:15
129,Skibbereen,51.55,-9.2667,51.6,98,100,14.52,IE,2022-01-27 04:33:15
130,Brownsville,25.9018,-97.4975,62.98,88,75,5.73,US,2022-01-27 04:29:14
131,Ostrovnoy,68.0531,39.5131,14.68,94,88,20.8,RU,2022-01-27 04:33:16
132,Makushino,55.2103,67.2442,7.61,92,98,10.56,RU,2022-01-27 04:33:16
133,Kumluca,36.3703,30.2869,39.67,40,0,6.58,TR,2022-01-27 04:33:16
134,Qaqortoq,60.7167,-46.0333,28.9,90,98,15.52,GL,2022-01-27 04:33:17
135,Kapaa,22.0752,-159.319,75.18,75,75,1.99,US,2022-01-27 04:33:17
136,Praia,14.9215,-23.5087,70.34,78,75,26.46,CV,2022-01-27 04:33:18
137,Tagusao,9.1924,117.8141,83.97,73,100,7.29,PH,2022-01-27 04:33:18
138,Hofn,64.2539,-15.2082,30.45,54,91,7.83,IS,2022-01-27 04:33:18
139,Vostok,46.4856,135.8833,8.56,85,100,5.7,RU,2022-01-27 04:33:26
140,Isangel,-19.55,169.2667,86.11,84,100,2.3,VU,2022-01-27 04:31:29
141,Dikson,73.5069,80.5464,11.61,92,100,27.72,RU,2022-01-27 04:28:35
142,Shitanjing,39.2342,106.3439,23.31,42,92,3.94,CN,2022-01-27 04:33:27
143,Clyde River,70.4692,-68.5914,-9.17,77,100,17.27,CA,2022-01-27 04:33:27
144,Talnakh,69.4865,88.3972,1.2,96,100,14.76,RU,2022-01-27 04:33:12
145,Victoria,22.2855,114.1577,73.96,83,41,1.99,HK,2022-01-27 04:29:34
146,Sur,22.5667,59.5289,70.93,43,0,4.63,OM,2022-01-27 04:33:27
147,Waynesville,35.4887,-82.9887,32.2,66,2,1.99,US,2022-01-27 04:33:28
148,Fortuna,40.5982,-124.1573,45.93,95,100,1.01,US,2022-01-27 04:33:28
149,Kysyl-Syr,63.8986,122.7617,-7.35,99,96,2.98,RU,2022-01-27 04:29:47
150,Westport,41.1415,-73.3579,22.37,54,0,5.99,US,2022-01-27 04:33:29
151,Buala,-8.145,159.5921,82.44,77,100,7.61,SB,2022-01-27 04:33:29
152,Cabo San Lucas,22.8909,-109.9124,68.5,66,4,4.54,MX,2022-01-27 04:33:30
153,Narsaq,60.9167,-46.05,28.62,84,99,13.56,GL,2022-01-27 04:33:30
154,Biak,-0.9131,122.8766,84.52,68,95,1.05,ID,2022-01-27 04:33:30
155,Baiyin,36.5583,104.2081,25.68,41,100,6.24,CN,2022-01-27 04:33:31
156,Saint-Louis,16.3333,-15.0,67.82,40,88,11.01,SN,2022-01-27 04:31:28
157,Lagoa,39.05,-27.9833,58.68,79,40,10.49,PT,2022-01-27 04:33:31
158,Pochutla,15.7432,-96.4661,74.82,75,32,3.89,MX,2022-01-27 04:33:32
159,Provideniya,64.3833,-173.3,-4.65,71,40,4.47,RU,2022-01-27 04:33:32
160,Caravelas,-17.7125,-39.2481,73.78,93,74,3.33,BR,2022-01-27 04:33:32
161,Adrar,20.5022,-10.0711,59.14,18,17,3.71,MR,2022-01-27 04:33:33
162,Esperance,-33.8667,121.9,68.58,74,97,12.37,AU,2022-01-27 04:31:08
163,Port Hardy,50.6996,-127.4199,39.76,100,0,3.44,CA,2022-01-27 04:30:53
164,Sovetskiy,61.3614,63.5842,5.02,97,100,5.21,RU,2022-01-27 04:33:34
165,Kansanshi,-12.0951,26.4273,61.29,97,100,6.22,ZM,2022-01-27 04:33:34
166,Porto Novo,6.4965,2.6036,73.22,88,1,2.68,BJ,2022-01-27 04:33:34
167,Sorland,67.667,12.6934,37.81,76,80,6.08,NO,2022-01-27 04:33:35
168,Darhan,49.4867,105.9228,0.21,83,7,3.78,MN,2022-01-27 04:33:35
169,Omagh,54.6,-7.3,46.06,83,95,10.76,GB,2022-01-27 04:33:36
170,Washim,20.1,77.15,64.92,31,0,9.17,IN,2022-01-27 04:33:36
171,Sabha,27.0377,14.4283,38.43,58,6,8.84,LY,2022-01-27 04:33:28
172,Zhigansk,66.7697,123.3711,-18.56,99,69,6.69,RU,2022-01-27 04:33:36
173,Kautokeino,69.0125,23.0412,3.25,98,100,1.59,NO,2022-01-27 04:33:37
174,Boca Do Acre,-8.7522,-67.3978,72.41,99,96,2.39,BR,2022-01-27 04:33:37
175,Tucuma,-0.1833,-50.05,74.23,92,95,4.52,BR,2022-01-27 04:30:05
176,Charters Towers,-20.1,146.2667,77.7,79,100,6.85,AU,2022-01-27 04:33:37
177,Longyearbyen,78.2186,15.6401,6.64,78,75,3.44,SJ,2022-01-27 04:33:38
178,Luderitz,-26.6481,15.1594,66.76,76,3,19.66,NA,2022-01-27 04:33:38
179,Jumla,29.2747,82.1838,39.65,36,2,3.2,NP,2022-01-27 04:33:39
180,Nenjiang,49.1833,125.2167,6.57,85,46,3.87,CN,2022-01-27 04:33:39
181,Russell,32.3502,-85.1999,42.4,43,3,5.61,US,2022-01-27 04:33:39
182,Hithadhoo,-0.6,73.0833,81.95,73,92,21.25,MV,2022-01-27 04:33:40
183,Ribeira Grande,38.5167,-28.7,59.85,81,35,12.8,PT,2022-01-27 04:33:40
184,Lumberton,34.6182,-79.0086,36.21,58,2,8.16,US,2022-01-27 04:32:17
185,Mar Del Plata,-38.0023,-57.5575,63.09,72,40,1.99,AR,2022-01-27 04:33:46
186,Dhidhdhoo,6.8833,73.1,78.6,56,100,8.16,MV,2022-01-27 04:33:47
187,Iberia,29.9502,-91.7507,40.96,70,0,8.05,US,2022-01-27 04:33:47
188,Taoudenni,22.6783,-3.9836,61.99,20,6,11.54,ML,2022-01-27 04:33:48
189,Half Moon Bay,37.4636,-122.4286,57.02,74,0,0.0,US,2022-01-27 04:29:20
190,Merauke,-8.4667,140.3333,87.21,63,100,7.07,ID,2022-01-27 04:33:48
191,Nouakchott,18.0858,-15.9785,64.33,55,96,15.21,MR,2022-01-27 04:33:49
192,Zyryanka,65.75,150.85,-36.11,98,30,5.39,RU,2022-01-27 04:33:49
193,Sveti Nikole,41.8696,21.9527,26.28,87,10,3.44,MK,2022-01-27 04:33:49
194,Meulaboh,4.1363,96.1285,84.69,65,27,3.98,ID,2022-01-27 04:33:50
195,Peniche,39.3558,-9.3811,53.11,70,71,10.13,PT,2022-01-27 04:33:50
196,Biu,10.6129,12.1946,58.6,45,31,9.95,NG,2022-01-27 04:33:50
197,Togur,58.3631,82.8265,-4.88,100,95,3.13,RU,2022-01-27 04:33:51
