City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Tabou,CI,4.423,-7.3528,79.12,87,20,5.48,few clouds
129,Lebu,CL,-37.6167,-73.65,58.21,71,0,21.14,clear sky
130,Ostrovnoy,RU,68.0531,39.5131,8.17,95,93,8.21,overcast clouds
131,Kingaroy,AU,-26.5333,151.8333,78.06,73,100,5.75,overcast clouds
132,Brownwood,US,31.7093,-98.9912,69.12,20,0,6.91,clear sky
133,Esperance,AU,-33.8667,121.9,67.84,77,31,18.3,scattered clouds
134,Dakar,SN,14.6937,-17.4441,70.68,88,100,19.57,overcast clouds
135,Akdepe,TM,42.0551,59.3788,26.69,72,100,9.8,overcast clouds
136,Hovd,MN,48.0056,91.6419,-14.66,82,22,1.92,few clouds
137,Camacha,PT,33.0833,-16.3333,61.56,82,20,18.41,few clouds
138,Shakawe,BW,-18.3667,21.85,66.61,94,100,6.87,light rain
139,Bengkulu,ID,-3.8004,102.2655,75.85,88,97,4.83,heavy intensity rain
140,San Patricio,US,28.017,-97.5169,68.09,68,63,11.03,broken clouds
141,Souillac,MU,-20.5167,57.5167,79.18,94,75,9.22,light rain
142,Chokurdakh,RU,70.6333,147.9167,-29.65,96,16,2.21,few clouds
143,Tucuru,GT,15.3,-90.0667,73.08,97,88,2.71,overcast clouds
144,Broome,US,42.2506,-75.833,14.38,74,0,3.0,clear sky
145,Pec,XK,42.6591,20.2883,34.09,79,39,6.33,scattered clouds
146,Rocha,UY,-34.4833,-54.3333,67.93,82,0,10.6,clear sky
147,Balkhash,KZ,46.844,74.9804,4.35,99,100,6.46,overcast clouds
148,Komsomolskiy,UZ,40.4272,71.7189,32.72,86,100,2.3,fog
149,Ancud,CL,-41.8697,-73.8203,60.42,66,33,8.97,scattered clouds
150,Vostok,RU,46.4856,135.8833,-7.98,92,52,1.21,broken clouds
151,Kaitangata,NZ,-46.2817,169.8464,69.93,71,18,5.95,few clouds
152,Arbazh,RU,57.6804,48.3065,13.6,96,99,5.82,overcast clouds
153,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,4.93,98,99,3.91,overcast clouds
154,Bredasdorp,ZA,-34.5322,20.0403,69.28,88,88,8.05,overcast clouds
155,Atasu,KZ,48.6814,71.6433,14.72,96,100,8.99,overcast clouds
156,Porto Feliz,BR,-23.2147,-47.5239,69.39,98,100,5.28,overcast clouds
157,Tiksi,RU,71.6872,128.8694,-18.56,100,97,4.27,overcast clouds
158,Buin,CL,-33.7333,-70.75,79.12,59,0,5.55,clear sky
